param_val1,param_val2,readout,value,name,pname1,pname2
10000.0,0.1,Area,14616417.697968658,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.11721022975334802,Area,2347821.8829015014,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.1373823795883263,Area,489945.2528329962,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.16102620275609392,Area,128331.21369555125,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.18873918221350972,Area,40899.47247854741,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.2212216291070449,Area,15355.522953813614,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.2592943797404667,Area,6626.329491774617,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.30391953823131973,Area,3219.0560779691396,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.3562247890262442,Area,1720.4533393325191,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.41753189365604015,Area,996.5481428959058,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.4893900918477494,Area,614.360512949892,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.5736152510448679,Area,399.50244142128383,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.6723357536499337,Area,275.5136713022785,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.7880462815669912,Area,203.74850151103658,Timer_IL2_1,rate_il2,deg_myc
10000.0,0.9236708571873861,Area,156.01226648216567,Timer_IL2_1,rate_il2,deg_myc
10000.0,1.0826367338740546,Area,124.06850730285153,Timer_IL2_1,rate_il2,deg_myc
10000.0,1.2689610031679222,Area,102.48848894673719,Timer_IL2_1,rate_il2,deg_myc
10000.0,1.487352107293511,Area,88.53165547721932,Timer_IL2_1,rate_il2,deg_myc
10000.0,1.743328822199988,Area,80.0536677928826,Timer_IL2_1,rate_il2,deg_myc
10000.0,2.0433597178569416,Area,75.4026601581255,Timer_IL2_1,rate_il2,deg_myc
10000.0,2.395026619987486,Area,73.19109342909184,Timer_IL2_1,rate_il2,deg_myc
10000.0,2.807216203941177,Area,72.24186684668973,Timer_IL2_1,rate_il2,deg_myc
10000.0,3.2903445623126677,Area,71.84789917026286,Timer_IL2_1,rate_il2,deg_myc
10000.0,3.856620421163472,Area,71.72557559669,Timer_IL2_1,rate_il2,deg_myc
10000.0,4.520353656360243,Area,71.65803028651268,Timer_IL2_1,rate_il2,deg_myc
10000.0,5.298316906283707,Area,71.64387357785448,Timer_IL2_1,rate_il2,deg_myc
10000.0,6.2101694189156165,Area,71.66986775651313,Timer_IL2_1,rate_il2,deg_myc
10000.0,7.27895384398315,Area,71.58798112306627,Timer_IL2_1,rate_il2,deg_myc
10000.0,8.531678524172806,Area,71.54169279009491,Timer_IL2_1,rate_il2,deg_myc
10000.0,10.0,Area,71.60502034273699,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.1,Area,16213386.969431438,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.11721022975334802,Area,2607591.3166479934,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.1373823795883263,Area,544410.8490517929,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.16102620275609392,Area,142812.09330036613,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.18873918221350972,Area,45460.335819042666,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.2212216291070449,Area,17031.823782326635,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.2592943797404667,Area,7374.0416161891335,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.30391953823131973,Area,3570.151104477214,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.3562247890262442,Area,1905.606722661369,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.41753189365604015,Area,1100.8041774819862,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.4893900918477494,Area,676.9659293446878,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.5736152510448679,Area,438.7280765588906,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.6723357536499337,Area,304.1040479339581,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.7880462815669912,Area,224.12677356187407,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,0.9236708571873861,Area,170.9909860038983,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,1.0826367338740546,Area,135.6149182096907,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,1.2689610031679222,Area,111.78021160657306,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,1.487352107293511,Area,96.48990430565809,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,1.743328822199988,Area,87.05205630949581,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,2.0433597178569416,Area,81.94895482644604,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,2.395026619987486,Area,79.50063525478146,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,2.807216203941177,Area,78.28686870046273,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,3.2903445623126677,Area,77.84661762838486,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,3.856620421163472,Area,77.87579032994473,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,4.520353656360243,Area,77.63079985107599,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,5.298316906283707,Area,77.61982729733498,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,6.2101694189156165,Area,77.63858349252328,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,7.27895384398315,Area,77.63421802186487,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,8.531678524172806,Area,77.72823605241908,Timer_IL2_1,rate_il2,deg_myc
22122.1629107045,10.0,Area,77.73467376888769,Timer_IL2_1,rate_il2,deg_myc
