param_val1,param_val2,readout,value,name,pname1,pname2
0.1,0.1,Area,36342932.73416554,Timer_IL2,up_il2,deg_myc
0.1,0.10826367338740543,Area,14007490.177771779,Timer_IL2,up_il2,deg_myc
0.1,0.11721022975334802,Area,5806200.75959478,Timer_IL2,up_il2,deg_myc
0.1,0.12689610031679222,Area,2564615.6574405734,Timer_IL2,up_il2,deg_myc
0.1,0.1373823795883263,Area,1206689.1707490168,Timer_IL2,up_il2,deg_myc
0.1,0.14873521072935114,Area,601295.4656832579,Timer_IL2,up_il2,deg_myc
0.1,0.16102620275609392,Area,315810.7990876966,Timer_IL2,up_il2,deg_myc
0.1,0.17433288221999882,Area,174162.67441144728,Timer_IL2,up_il2,deg_myc
0.1,0.18873918221350972,Area,100369.73950139325,Timer_IL2,up_il2,deg_myc
0.1,0.20433597178569418,Area,60275.472740075165,Timer_IL2,up_il2,deg_myc
0.1,0.2212216291070449,Area,37601.77555430468,Timer_IL2,up_il2,deg_myc
0.1,0.23950266199874853,Area,24247.923982454053,Timer_IL2,up_il2,deg_myc
0.1,0.2592943797404667,Area,16136.572073611656,Timer_IL2,up_il2,deg_myc
0.1,0.2807216203941177,Area,11069.440872817324,Timer_IL2,up_il2,deg_myc
0.1,0.30391953823131973,Area,7765.176308264931,Timer_IL2,up_il2,deg_myc
0.1,0.32903445623126687,Area,5572.270089930471,Timer_IL2,up_il2,deg_myc
0.1,0.3562247890262442,Area,4080.6187472935,Timer_IL2,up_il2,deg_myc
0.1,0.38566204211634714,Area,3046.735178482446,Timer_IL2,up_il2,deg_myc
0.1,0.41753189365604015,Area,2304.695866466952,Timer_IL2,up_il2,deg_myc
0.1,0.4520353656360243,Area,1770.124450846526,Timer_IL2,up_il2,deg_myc
0.1,0.4893900918477494,Area,1384.3507619039842,Timer_IL2,up_il2,deg_myc
0.1,0.5298316906283709,Area,1118.0495361492965,Timer_IL2,up_il2,deg_myc
0.1,0.5736152510448679,Area,922.6783680068438,Timer_IL2,up_il2,deg_myc
0.1,0.6210169418915616,Area,782.100735054801,Timer_IL2,up_il2,deg_myc
0.1,0.6723357536499337,Area,691.8722186622789,Timer_IL2,up_il2,deg_myc
0.1,0.727895384398315,Area,640.5348833068201,Timer_IL2,up_il2,deg_myc
0.1,0.7880462815669912,Area,610.3267996774885,Timer_IL2,up_il2,deg_myc
0.1,0.8531678524172808,Area,591.930598903174,Timer_IL2,up_il2,deg_myc
0.1,0.9236708571873861,Area,581.8340455228554,Timer_IL2,up_il2,deg_myc
0.1,1.0,Area,571.8034812427212,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.1,Area,37514598.376888745,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.10826367338740543,Area,14454679.096113423,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.11721022975334802,Area,5980786.075900296,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.12689610031679222,Area,2646485.134932103,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.1373823795883263,Area,1245483.0438737415,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.14873521072935114,Area,619735.0879440391,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.16102620275609392,Area,325882.3590079185,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.17433288221999882,Area,179769.67425756506,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.18873918221350972,Area,103570.4553391352,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.20433597178569418,Area,62210.95058844877,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.2212216291070449,Area,38792.91502950316,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.23950266199874853,Area,25066.130980624403,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.2592943797404667,Area,16663.745609962796,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.2807216203941177,Area,11412.505308315049,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.30391953823131973,Area,8001.177079555372,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.32903445623126687,Area,5745.868642403409,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.3562247890262442,Area,4211.41628668827,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.38566204211634714,Area,3137.5615794952673,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.41753189365604015,Area,2374.3345116269074,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.4520353656360243,Area,1822.9757247121045,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.4893900918477494,Area,1428.4019665172002,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.5298316906283709,Area,1156.9326878651789,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.5736152510448679,Area,969.123715636688,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.6210169418915616,Area,845.4740913034616,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.6723357536499337,Area,772.0966018802067,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.727895384398315,Area,727.1014971048501,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.7880462815669912,Area,699.984466121902,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.8531678524172808,Area,683.853326575381,Timer_IL2,up_il2,deg_myc
0.0853167852417281,0.9236708571873861,Area,671.4715744906072,Timer_IL2,up_il2,deg_myc
0.0853167852417281,1.0,Area,664.6624937305912,Timer_IL2,up_il2,deg_myc
0.0727895384398315,0.1,Area,39495411.814773835,Timer_IL2,up_il2,deg_myc
