index,readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
0,Peak,987.1651167012091,Carry,thres,13.5,-0.008784198698493138,0.903114186851211,beta_naive
1,Area,4898.032954900026,Carry,thres,13.5,-0.00902575364087362,0.903114186851211,beta_naive
2,Peaktime,5.806942252888162,Carry,thres,13.5,0.025145126854631532,0.903114186851211,beta_naive
3,Decay,63.300000000000004,Carry,thres,13.5,0.002280941251238403,0.903114186851211,beta_naive
4,Peak,981.1573731176992,Carry,thres,13.60344827586207,-0.017591057162874582,0.9100346020761245,beta_naive
5,Area,4881.378183950462,Carry,thres,13.60344827586207,-0.01393970568659092,0.9100346020761245,beta_naive
6,Peaktime,5.7938753201001445,Carry,thres,13.60344827586207,0.021895078832266286,0.9100346020761245,beta_naive
7,Decay,63.2,Carry,thres,13.60344827586207,0.0,0.9100346020761245,beta_naive
8,Peak,990.7373235701496,Carry,thres,13.706896551724139,-0.003573010691084485,0.9169550173010381,beta_naive
9,Area,4929.764772779113,Carry,thres,13.706896551724139,0.0002905747260251249,0.9169550173010381,beta_naive
10,Peaktime,5.79254896395598,Carry,thres,13.706896551724139,0.021564773745367166,0.9169550173010381,beta_naive
11,Decay,63.300000000000004,Carry,thres,13.706896551724139,0.002280941251238403,0.9169550173010381,beta_naive
12,Peak,987.0122701329881,Carry,thres,13.810344827586206,-0.009007594010282696,0.9238754325259515,beta_naive
13,Area,4911.674057981248,Carry,thres,13.810344827586206,-0.00501340863878879,0.9238754325259515,beta_naive
14,Peaktime,5.769737643973072,Carry,thres,13.810344827586206,0.015872159121553767,0.9238754325259515,beta_naive
15,Decay,63.2,Carry,thres,13.810344827586206,0.0,0.9238754325259515,beta_naive
16,Peak,987.4980727009108,Carry,thres,13.913793103448276,-0.008297681325065347,0.930795847750865,beta_naive
17,Area,4893.102741836358,Carry,thres,13.913793103448276,-0.01047865854566463,0.930795847750865,beta_naive
18,Peaktime,5.747370220302996,Carry,thres,13.913793103448276,0.010268423850942184,0.930795847750865,beta_naive
19,Decay,63.2,Carry,thres,13.913793103448276,0.0,0.930795847750865,beta_naive
20,Peak,997.2957240562595,Carry,thres,14.017241379310345,0.00594575077332176,0.9377162629757785,beta_naive
21,Area,4939.4109309291,Carry,thres,14.017241379310345,0.003110763438022766,0.9377162629757785,beta_naive
22,Peaktime,5.7461075225698215,Carry,thres,14.017241379310345,0.009951428802815517,0.9377162629757785,beta_naive
23,Decay,63.300000000000004,Carry,thres,14.017241379310345,0.002280941251238403,0.9377162629757785,beta_naive
24,Peak,1001.4213205308122,Carry,thres,14.120689655172415,0.011901557318012393,0.9446366782006921,beta_naive
25,Area,4919.507030431992,Carry,thres,14.120689655172415,-0.0027144797919467227,0.9446366782006921,beta_naive
26,Peaktime,5.732010082004648,Carry,thres,14.120689655172415,0.006407586768797513,0.9446366782006921,beta_naive
27,Decay,63.2,Carry,thres,14.120689655172415,0.0,0.9446366782006921,beta_naive
28,Peak,1003.7432187564291,Carry,thres,14.224137931034482,0.01524272208242491,0.9515570934256055,beta_naive
29,Area,4898.757698761528,Carry,thres,14.224137931034482,-0.008812299171185527,0.9515570934256055,beta_naive
30,Peaktime,5.724083891273984,Carry,thres,14.224137931034482,0.004411255748544316,0.9515570934256055,beta_naive
31,Decay,63.2,Carry,thres,14.224137931034482,0.0,0.9515570934256055,beta_naive
32,Peak,1012.6988405128158,Carry,thres,14.327586206896552,0.02805768593296663,0.958477508650519,beta_naive
33,Area,4942.967080545732,Carry,thres,14.327586206896552,0.0041490640640591565,0.958477508650519,beta_naive
34,Peaktime,5.723867498523094,Carry,thres,14.327586206896552,0.004356715204476656,0.958477508650519,beta_naive
35,Decay,63.2,Carry,thres,14.327586206896552,0.0,0.958477508650519,beta_naive
36,Peak,1003.1674920582674,Carry,thres,14.431034482758621,0.014414984136083385,0.9653979238754326,beta_naive
37,Area,4919.624470412062,Carry,thres,14.431034482758621,-0.0026800397447042214,0.9653979238754326,beta_naive
38,Peaktime,5.722043576852351,Carry,thres,14.431034482758621,0.0038969243229477926,0.9653979238754326,beta_naive
39,Decay,63.2,Carry,thres,14.431034482758621,0.0,0.9653979238754326,beta_naive
40,Peak,994.3765470786471,Carry,thres,14.53448275862069,0.0017166562321232095,0.972318339100346,beta_naive
41,Area,4896.0023147706015,Carry,thres,14.53448275862069,-0.009623994183380538,0.972318339100346,beta_naive
42,Peaktime,5.7190677534929035,Carry,thres,14.53448275862069,0.0031464367914325305,0.972318339100346,beta_naive
43,Decay,63.2,Carry,thres,14.53448275862069,0.0,0.972318339100346,beta_naive
44,Peak,1002.6840307959536,Carry,thres,14.637931034482758,0.01371953168493091,0.9792387543252594,beta_naive
45,Area,4938.238498621506,Carry,thres,14.637931034482758,0.0027682806852278325,0.9792387543252594,beta_naive
46,Peaktime,5.718832577123539,Carry,thres,14.637931034482758,0.0030871098569329523,0.9792387543252594,beta_naive
47,Decay,63.2,Carry,thres,14.637931034482758,0.0,0.9792387543252594,beta_naive
48,Peak,993.8225637371437,Carry,thres,14.741379310344827,0.0009126833947370055,0.9861591695501729,beta_naive
49,Area,4913.468966098149,Carry,thres,14.741379310344827,-0.004486290598559545,0.9861591695501729,beta_naive
50,Peaktime,5.714358477247183,Carry,thres,14.741379310344827,0.0019579829136587364,0.9861591695501729,beta_naive
51,Decay,63.2,Carry,thres,14.741379310344827,0.0,0.9861591695501729,beta_naive
52,Peak,985.2688844412373,Carry,thres,14.844827586206897,-0.01155811733815116,0.9930795847750865,beta_naive
