index,readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
0,Peak,1613.746560710319,Timer,thres,13.5,-0.20331200025721682,0.903114186851211,beta_naive
1,Area,9023.838214280086,Timer,thres,13.5,-0.2034425475202172,0.903114186851211,beta_naive
2,Peaktime,6.6109106452912085,Timer,thres,13.5,-5.652057855396034e-06,0.903114186851211,beta_naive
3,Decay,66.4,Timer,thres,13.5,-0.012977853998209835,0.903114186851211,beta_naive
4,Peak,1631.754468694258,Timer,thres,13.60344827586207,-0.18730203080924535,0.9100346020761245,beta_naive
5,Area,9124.607856892308,Timer,thres,13.60344827586207,-0.1874211915131124,0.9100346020761245,beta_naive
6,Peaktime,6.61091016250797,Timer,thres,13.60344827586207,-5.757415354005138e-06,0.9100346020761245,beta_naive
7,Decay,66.4,Timer,thres,13.60344827586207,-0.012977853998209835,0.9100346020761245,beta_naive
8,Peak,1649.680362679362,Timer,thres,13.706896551724139,-0.171539501947945,0.9169550173010381,beta_naive
9,Area,9224.920558774762,Timer,thres,13.706896551724139,-0.17164726250748438,0.9169550173010381,beta_naive
10,Peaktime,6.610913307739603,Timer,thres,13.706896551724139,-5.071033465986202e-06,0.9169550173010381,beta_naive
11,Decay,66.5,Timer,thres,13.706896551724139,-0.010806754956582863,0.9169550173010381,beta_naive
12,Peak,1667.520421266052,Timer,thres,13.810344827586206,-0.15602159159286644,0.9238754325259515,beta_naive
13,Area,9324.750327245521,Timer,thres,13.810344827586206,-0.156118652508613,0.9238754325259515,beta_naive
14,Peaktime,6.610915526696332,Timer,thres,13.810344827586206,-4.5867921541862846e-06,0.9238754325259515,beta_naive
15,Decay,66.5,Timer,thres,13.810344827586206,-0.010806754956582863,0.9238754325259515,beta_naive
16,Peak,1685.273238587406,Timer,thres,13.913793103448276,-0.14074350205430014,0.930795847750865,beta_naive
17,Area,9424.092012965792,Timer,thres,13.913793103448276,-0.14083012471785217,0.930795847750865,beta_naive
18,Peaktime,6.6109177987720145,Timer,thres,13.913793103448276,-4.090958900374824e-06,0.930795847750865,beta_naive
19,Decay,66.5,Timer,thres,13.913793103448276,-0.010806754956582863,0.930795847750865,beta_naive
20,Peak,1702.940314499792,Timer,thres,14.017241379310345,-0.12569814944773636,0.9377162629757785,beta_naive
21,Area,9522.955586145918,Timer,thres,14.017241379310345,-0.12577434566223336,0.9377162629757785,beta_naive
22,Peaktime,6.610922158016284,Timer,thres,14.017241379310345,-3.139644997077104e-06,0.9377162629757785,beta_naive
23,Decay,66.60000000000001,Timer,thres,14.017241379310345,-0.008638918273872403,0.9377162629757785,beta_naive
24,Peak,1720.5172241903767,Timer,thres,14.120689655172415,-0.11088368601125534,0.9446366782006921,beta_naive
25,Area,9621.313698285863,Timer,thres,14.120689655172415,-0.1109498561946139,0.9446366782006921,beta_naive
26,Peaktime,6.610926677175584,Timer,thres,14.120689655172415,-2.1534336445023203e-06,0.9446366782006921,beta_naive
27,Decay,66.60000000000001,Timer,thres,14.120689655172415,-0.008638918273872403,0.9446366782006921,beta_naive
28,Peak,1738.0097709243908,Timer,thres,14.224137931034482,-0.0962898281876278,0.9515570934256055,beta_naive
29,Area,9719.192784123847,Timer,thres,14.224137931034482,-0.09634725233333984,0.9515570934256055,beta_naive
30,Peaktime,6.610922475065256,Timer,thres,14.224137931034482,-3.0704557133791153e-06,0.9515570934256055,beta_naive
31,Decay,66.7,Timer,thres,14.224137931034482,-0.006474334160549774,0.9515570934256055,beta_naive
32,Peak,1755.41589650752,Timer,thres,14.327586206896552,-0.08191314394764425,0.958477508650519,beta_naive
33,Area,9816.595535881173,Timer,thres,14.327586206896552,-0.08196097530653182,0.958477508650519,beta_naive
34,Peaktime,6.610930319299459,Timer,thres,14.327586206896552,-1.3586172956105722e-06,0.958477508650519,beta_naive
35,Decay,66.7,Timer,thres,14.327586206896552,-0.006474334160549774,0.958477508650519,beta_naive
36,Peak,1772.7271525875985,Timer,thres,14.431034482758621,-0.06775551860409575,0.9653979238754326,beta_naive
37,Area,9913.45927132479,Timer,thres,14.431034482758621,-0.06779518054405162,0.9653979238754326,beta_naive
38,Peaktime,6.610931313156584,Timer,thres,14.431034482758621,-1.1417291165448812e-06,0.9653979238754326,beta_naive
39,Decay,66.8,Timer,thres,14.431034482758621,-0.004312992871082601,0.9653979238754326,beta_naive
40,Peak,1789.9572609273266,Timer,thres,14.53448275862069,-0.05380088059682973,0.972318339100346,beta_naive
41,Area,10009.869737464413,Timer,thres,14.53448275862069,-0.05383245503530027,0.972318339100346,beta_naive
42,Peaktime,6.6109327455368145,Timer,thres,14.53448275862069,-8.291426543055442e-07,0.972318339100346,beta_naive
43,Decay,66.8,Timer,thres,14.53448275862069,-0.004312992871082601,0.972318339100346,beta_naive
44,Peak,1807.092891709895,Timer,thres,14.637931034482758,-0.040055352725827297,0.9792387543252594,beta_naive
45,Area,10105.754747984227,Timer,thres,14.637931034482758,-0.04007858157336525,0.9792387543252594,beta_naive
46,Peaktime,6.61093396422748,Timer,thres,14.637931034482758,-5.631894394045062e-07,0.9792387543252594,beta_naive
47,Decay,66.8,Timer,thres,14.637931034482758,-0.004312992871082601,0.9792387543252594,beta_naive
48,Peak,1824.138392000164,Timer,thres,14.741379310344827,-0.02651083438316821,0.9861591695501729,beta_naive
49,Area,10201.135494489694,Timer,thres,14.741379310344827,-0.026525906567428117,0.9861591695501729,beta_naive
50,Peaktime,6.610933943162335,Timer,thres,14.741379310344827,-5.677864570650642e-07,0.9861591695501729,beta_naive
