cells,time,name,model_name,ID,dur
0.0,0.0,IL2,il2_menten_prolif,0,0.1
3.7043482782234003e-07,0.01,IL2,il2_menten_prolif,0,0.1
5.780212903512113e-06,0.02,IL2,il2_menten_prolif,0,0.1
2.878123008382406e-05,0.03,IL2,il2_menten_prolif,0,0.1
8.947635490464258e-05,0.04,IL2,il2_menten_prolif,0,0.1
0.0002148856163339607,0.05,IL2,il2_menten_prolif,0,0.1
0.0004383466691000203,0.06,IL2,il2_menten_prolif,0,0.1
0.0007988805362489609,0.07,IL2,il2_menten_prolif,0,0.1
0.0013406744950757818,0.08,IL2,il2_menten_prolif,0,0.1
0.0021125915519096755,0.09,IL2,il2_menten_prolif,0,0.1
0.0031676846635773728,0.1,IL2,il2_menten_prolif,0,0.1
0.0045627668095656725,0.11,IL2,il2_menten_prolif,0,0.1
0.006358052553089986,0.12,IL2,il2_menten_prolif,0,0.1
0.008616863324860273,0.13,IL2,il2_menten_prolif,0,0.1
0.011405381818583528,0.14,IL2,il2_menten_prolif,0,0.1
0.014792447858209224,0.15,IL2,il2_menten_prolif,0,0.1
0.018849386773924236,0.16,IL2,il2_menten_prolif,0,0.1
0.023649857107385958,0.17,IL2,il2_menten_prolif,0,0.1
0.02926970216477602,0.18,IL2,il2_menten_prolif,0,0.1
0.03578679439167236,0.19,IL2,il2_menten_prolif,0,0.1
0.04328086877303312,0.2,IL2,il2_menten_prolif,0,0.1
0.05183334655434828,0.21,IL2,il2_menten_prolif,0,0.1
0.061527152409115965,0.22,IL2,il2_menten_prolif,0,0.1
0.07244653089176462,0.23,IL2,il2_menten_prolif,0,0.1
0.0846768630496348,0.24,IL2,il2_menten_prolif,0,0.1
0.09830448648207996,0.25,IL2,il2_menten_prolif,0,0.1
0.11341652510267596,0.26,IL2,il2_menten_prolif,0,0.1
0.1301007291416821,0.27,IL2,il2_menten_prolif,0,0.1
0.14844532681017356,0.28,IL2,il2_menten_prolif,0,0.1
0.16853888801456784,0.29,IL2,il2_menten_prolif,0,0.1
0.19047020035868384,0.3,IL2,il2_menten_prolif,0,0.1
0.21432815481885448,0.31,IL2,il2_menten_prolif,0,0.1
0.24020164272286335,0.32,IL2,il2_menten_prolif,0,0.1
0.26817947361143024,0.33,IL2,il2_menten_prolif,0,0.1
0.2983502776197888,0.34,IL2,il2_menten_prolif,0,0.1
0.3308024474669469,0.35000000000000003,IL2,il2_menten_prolif,0,0.1
0.36562406236519973,0.36,IL2,il2_menten_prolif,0,0.1
0.40290283991894127,0.37,IL2,il2_menten_prolif,0,0.1
0.4427260825872318,0.38,IL2,il2_menten_prolif,0,0.1
0.48518063077718465,0.39,IL2,il2_menten_prolif,0,0.1
0.5303528329973564,0.4,IL2,il2_menten_prolif,0,0.1
0.5783285030377325,0.41000000000000003,IL2,il2_menten_prolif,0,0.1
0.6291929043381279,0.42,IL2,il2_menten_prolif,0,0.1
0.6830307160165211,0.43,IL2,il2_menten_prolif,0,0.1
0.7399260249025054,0.44,IL2,il2_menten_prolif,0,0.1
0.7999622967574833,0.45,IL2,il2_menten_prolif,0,0.1
0.8632223792834604,0.46,IL2,il2_menten_prolif,0,0.1
