time,species,value,name,model
0.0,CD4_all,1.0,Null,null_model
2.108185106773714e-06,CD4_all,1.0,Null,null_model
4.216370213547428e-06,CD4_all,1.0,Null,null_model
0.0007597903896496163,CD4_all,1.0,Null,null_model
0.001515364409085685,CD4_all,1.0000000000000002,Null,null_model
0.002270938428521754,CD4_all,1.0,Null,null_model
0.004540916146857844,CD4_all,1.0,Null,null_model
0.006810893865193934,CD4_all,1.0000000000000002,Null,null_model
0.009080871583530024,CD4_all,1.0000000000000002,Null,null_model
0.011350849301866113,CD4_all,1.0,Null,null_model
0.015564271280759821,CD4_all,1.0,Null,null_model
0.019777693259653527,CD4_all,1.0,Null,null_model
0.023991115238547234,CD4_all,1.0000000000000004,Null,null_model
0.028204537217440942,CD4_all,1.0000000000000002,Null,null_model
0.03241795919633465,CD4_all,1.0000000000000002,Null,null_model
0.03924229223983264,CD4_all,1.0000000000000002,Null,null_model
0.04606662528333062,CD4_all,1.0000000000000002,Null,null_model
0.05289095832682861,CD4_all,1.0000000000000002,Null,null_model
0.05971529137032659,CD4_all,1.0000000000000002,Null,null_model
0.06653962441382458,CD4_all,1.0000000000000002,Null,null_model
0.07400120834209538,CD4_all,1.0000000000000004,Null,null_model
0.08146279227036618,CD4_all,1.0000000000000002,Null,null_model
0.08892437619863698,CD4_all,1.0000000000000002,Null,null_model
0.09638596012690778,CD4_all,1.0000000000000004,Null,null_model
0.10843213387368868,CD4_all,1.0000000000000004,Null,null_model
0.12047830762046957,CD4_all,1.0000000000000004,Null,null_model
0.13252448136725048,CD4_all,1.0000000000000009,Null,null_model
0.1445706551140314,CD4_all,1.000000000000003,Null,null_model
0.15881743322137834,CD4_all,1.0000000000000182,Null,null_model
0.1730642113287253,CD4_all,1.0000000000000975,Null,null_model
0.18731098943607224,CD4_all,1.0000000000004599,Null,null_model
0.2015577675434192,CD4_all,1.0000000000019154,Null,null_model
0.22063177436651707,CD4_all,1.0000000000106217,Null,null_model
0.23970578118961494,CD4_all,1.0000000000499454,Null,null_model
0.25877978801271284,CD4_all,1.000000000206334,Null,null_model
0.27785379483581074,CD4_all,1.0000000007562266,Null,null_model
0.29692780165890864,CD4_all,1.0000000024930564,Null,null_model
0.31600180848200654,CD4_all,1.0000000074894024,Null,null_model
0.33507581530510444,CD4_all,1.0000000207322703,Null,null_model
0.35414982212820234,CD4_all,1.0000000533865585,Null,null_model
0.38194724608261926,CD4_all,1.000000190558773,Null,null_model
0.4097446700370362,CD4_all,1.00000060019602,Null,null_model
0.4375420939914531,CD4_all,1.000001709245325,Null,null_model
0.46533951794587003,CD4_all,1.0000044618821118,Null,null_model
0.49313694190028695,CD4_all,1.0000107774295204,Null,null_model
0.5209343658547039,CD4_all,1.0000242923071754,Null,null_model
0.5487317898091209,CD4_all,1.0000514713499964,Null,null_model
0.5765292137635378,CD4_all,1.0001031623510694,Null,null_model
0.6065292137635374,CD4_all,1.0002065702282783,Null,null_model
0.636529213763537,CD4_all,1.0003923562920303,Null,null_model
0.6665292137635366,CD4_all,1.00071050166347,Null,null_model
0.6965292137635362,CD4_all,1.0012320000976715,Null,null_model
0.7265292137635357,CD4_all,1.002053375453232,Null,null_model
0.764293428001746,CD4_all,1.003711609920275,Null,null_model
0.8020576422399563,CD4_all,1.0063713084519008,Null,null_model
0.8398218564781667,CD4_all,1.01043961281516,Null,null_model
0.877586070716377,CD4_all,1.0164019130816204,Null,null_model
0.9153502849545873,CD4_all,1.0248068610203802,Null,null_model
0.9557497650386382,CD4_all,1.0371718920498816,Null,null_model
0.9961492451226891,CD4_all,1.0537540776912013,Null,null_model
1.03654872520674,CD4_all,1.075266027362859,Null,null_model
1.076948205290791,CD4_all,1.1023716806733521,Null,null_model
1.117347685374842,CD4_all,1.1356584395415854,Null,null_model
1.1363800819253713,CD4_all,1.1536017820817333,Null,null_model
1.1554124784759006,CD4_all,1.173063160708547,Null,null_model
1.1744448750264298,CD4_all,1.194073537990072,Null,null_model
1.193477271576959,CD4_all,1.2166580074593922,Null,null_model
1.2141091979703797,CD4_all,1.2429428292807738,Null,null_model
1.2347411243638005,CD4_all,1.2711242081880718,Null,null_model
1.2553730507572212,CD4_all,1.301219115629683,Null,null_model
1.2760049771506419,CD4_all,1.3332380029813145,Null,null_model
1.3264128837505158,CD4_all,1.419587159298227,Null,null_model
1.3768207903503897,CD4_all,1.5174489642415754,Null,null_model
1.4272286969502637,CD4_all,1.6267648355921853,Null,null_model
1.4776366035501376,CD4_all,1.7474624246795298,Null,null_model
1.5280445101500115,CD4_all,1.8794778836982273,Null,null_model
1.5481555117947519,CD4_all,1.9353153973633161,Null,null_model
1.5682665134394922,CD4_all,1.992979830804617,Null,null_model
1.5883775150842325,CD4_all,2.0524606297082078,Null,null_model
1.6084885167289729,CD4_all,2.1137683501217226,Null,null_model
