cells,time,name,model_name
0.0,0.0,Null,Null
4.457559452175517e-07,0.1,Null,Null
0.00018599429784265653,0.2,Null,Null
0.004411198933947199,0.30000000000000004,Null,Null
0.03259673943709831,0.4,Null,Null
0.12838208534535211,0.5,Null,Null
0.343579103984738,0.6000000000000001,Null,Null
0.7129958660937613,0.7000000000000001,Null,Null
1.2425691843465818,0.8,Null,Null
1.9147215513006088,0.9,Null,Null
2.7020574650266567,1.0,Null,Null
3.5803594552789946,1.1,Null,Null
4.536012444473145,1.2000000000000002,Null,Null
5.56752686078666,1.3,Null,Null
6.683520061535795,1.4000000000000001,Null,Null
7.899608503166121,1.5,Null,Null
9.235654836278833,1.6,Null,Null
10.713947597861418,1.7000000000000002,Null,Null
12.358335864385765,1.8,Null,Null
14.19406750702576,1.9000000000000001,Null,Null
16.248048972856672,2.0,Null,Null
18.5493237514496,2.1,Null,Null
21.12964068772029,2.2,Null,Null
24.02404992412736,2.3000000000000003,Null,Null
27.271509166426362,2.4000000000000004,Null,Null
30.91550177192974,2.5,Null,Null
35.00468512428773,2.6,Null,Null
39.593580385886625,2.7,Null,Null
44.74332604335368,2.8000000000000003,Null,Null
50.52250693839004,2.9000000000000004,Null,Null
57.00807689708424,3.0,Null,Null
64.2863884590207,3.1,Null,Null
72.45434504995961,3.2,Null,Null
81.62069268281427,3.3000000000000003,Null,Null
91.90746902035143,3.4000000000000004,Null,Null
103.4516275268422,3.5,Null,Null
116.406862218131,3.6,Null,Null
130.94565279039045,3.7,Null,Null
147.26156292168676,3.8000000000000003,Null,Null
165.57181396325024,3.9000000000000004,Null,Null
186.12018125508493,4.0,Null,Null
209.1802348817601,4.1000000000000005,Null,Null
235.0589877109203,4.2,Null,Null
264.1009749282728,4.3,Null,Null
296.692851202622,4.4,Null,Null
333.2685260482022,4.5,Null,Null
374.31495517599666,4.6000000000000005,Null,Null
420.3786054466124,4.7,Null,Null
472.07275743919814,4.800000000000001,Null,Null
530.0856310293065,4.9,Null,Null
595.1895937841994,5.0,Null,Null
668.2513991643813,5.1000000000000005,Null,Null
750.2437690206197,5.2,Null,Null
842.258300126091,5.300000000000001,Null,Null
945.5200445772263,5.4,Null,Null
1061.4037669755153,5.5,Null,Null
1191.4523045885232,5.6000000000000005,Null,Null
1337.3970476801444,5.7,Null,Null
1501.181053195289,5.800000000000001,Null,Null
1684.984850009032,5.9,Null,Null
1891.2555303994384,6.0,Null,Null
2122.739275815904,6.1000000000000005,Null,Null
2382.5179614582057,6.2,Null,Null
2674.0501569893067,6.300000000000001,Null,Null
3001.2171878514723,6.4,Null,Null
3368.374805417642,6.5,Null,Null
3780.411172700631,6.6000000000000005,Null,Null
4242.811957705527,6.7,Null,Null
4761.7333417401,6.800000000000001,Null,Null
5344.0840160721455,6.9,Null,Null
5997.617109788724,7.0,Null,Null
6731.033485996809,7.1000000000000005,Null,Null
7554.0974760870395,7.2,Null,Null
8477.767017655508,7.300000000000001,Null,Null
9514.339362967195,7.4,Null,Null
10677.615030300034,7.5,Null,Null
11983.081237931427,7.6000000000000005,Null,Null
13448.118474839257,7.7,Null,Null
15092.231432486871,7.800000000000001,Null,Null
16937.30923597945,7.9,Null,Null
19007.916190821805,8.0,Null,Null
21331.619655093287,8.1,Null,Null
23939.355732011507,8.200000000000001,Null,Null
26865.84386994467,8.3,Null,Null
30150.04454213793,8.4,Null,Null
33835.68324028499,8.5,Null,Null
37971.82786575563,8.6,Null,Null
42613.54602168075,8.700000000000001,Null,Null
47822.634543695145,8.8,Null,Null
53668.445708584535,8.9,Null,Null
60228.80698340364,9.0,Null,Null
67591.06104222292,9.1,Null,Null
75853.22435917541,9.200000000000001,Null,Null
85125.29683023113,9.3,Null,Null
95530.72116833953,9.4,Null,Null
107208.03183239998,9.5,Null,Null
120312.69355585279,9.600000000000001,Null,Null
135019.17742696597,9.700000000000001,Null,Null
151523.2770357989,9.8,Null,Null
170044.72199122058,9.9,Null,Null
0.0,0.0,Carrying Capacity,Carrying Capacity
4.457559452175517e-07,0.1,Carrying Capacity,Carrying Capacity
0.00018599429784265653,0.2,Carrying Capacity,Carrying Capacity
0.004411198933947199,0.30000000000000004,Carrying Capacity,Carrying Capacity
0.03259673943709831,0.4,Carrying Capacity,Carrying Capacity
0.12838208534535211,0.5,Carrying Capacity,Carrying Capacity
0.343579103984738,0.6000000000000001,Carrying Capacity,Carrying Capacity
0.7129958660937613,0.7000000000000001,Carrying Capacity,Carrying Capacity
1.2425691843465818,0.8,Carrying Capacity,Carrying Capacity
1.9147215513006088,0.9,Carrying Capacity,Carrying Capacity
2.7020574650266567,1.0,Carrying Capacity,Carrying Capacity
3.5803594552789946,1.1,Carrying Capacity,Carrying Capacity
4.536012444473145,1.2000000000000002,Carrying Capacity,Carrying Capacity
5.56752686078666,1.3,Carrying Capacity,Carrying Capacity
6.683520061535795,1.4000000000000001,Carrying Capacity,Carrying Capacity
7.899608503166121,1.5,Carrying Capacity,Carrying Capacity
