time,species,value,name,model,param_value,run_ID
0.0,CD4_all,50.0,IL2,il2_prolif,0.05,0
0.6060606060606061,CD4_all,50.01017287961217,IL2,il2_prolif,0.05,0
1.2121212121212122,CD4_all,62.01636944924999,IL2,il2_prolif,0.05,0
1.8181818181818183,CD4_all,143.33361782811366,IL2,il2_prolif,0.05,0
2.4242424242424243,CD4_all,331.0478500541227,IL2,il2_prolif,0.05,0
3.0303030303030303,CD4_all,747.6244219207617,IL2,il2_prolif,0.05,0
3.6363636363636367,CD4_all,1686.4011492715636,IL2,il2_prolif,0.05,0
4.242424242424242,CD4_all,3803.968934955513,IL2,il2_prolif,0.05,0
4.848484848484849,CD4_all,8587.612987835224,IL2,il2_prolif,0.05,0
5.454545454545455,CD4_all,13599.103172207855,IL2,il2_prolif,0.05,0
6.0606060606060606,CD4_all,11758.525045630706,IL2,il2_prolif,0.05,0
6.666666666666667,CD4_all,10166.764029916163,IL2,il2_prolif,0.05,0
7.272727272727273,CD4_all,8790.480948935854,IL2,il2_prolif,0.05,0
7.878787878787879,CD4_all,7600.5064074519705,IL2,il2_prolif,0.05,0
8.484848484848484,CD4_all,6571.619689643588,IL2,il2_prolif,0.05,0
9.090909090909092,CD4_all,5682.014206419558,IL2,il2_prolif,0.05,0
9.696969696969697,CD4_all,4912.835294433803,IL2,il2_prolif,0.05,0
10.303030303030303,CD4_all,4247.780760911412,IL2,il2_prolif,0.05,0
10.90909090909091,CD4_all,3672.7552037832406,IL2,il2_prolif,0.05,0
11.515151515151516,CD4_all,3175.5713268268137,IL2,il2_prolif,0.05,0
12.121212121212121,CD4_all,2745.6916381061865,IL2,il2_prolif,0.05,0
12.727272727272728,CD4_all,2374.005114591105,IL2,il2_prolif,0.05,0
13.333333333333334,CD4_all,2052.634099893204,IL2,il2_prolif,0.05,0
13.93939393939394,CD4_all,1774.7673424146178,IL2,il2_prolif,0.05,0
14.545454545454547,CD4_all,1534.5156352590493,IL2,il2_prolif,0.05,0
15.151515151515152,CD4_all,1326.7870173799256,IL2,il2_prolif,0.05,0
15.757575757575758,CD4_all,1147.1775896439458,IL2,il2_prolif,0.05,0
16.363636363636363,CD4_all,991.8809782906472,IL2,il2_prolif,0.05,0
16.96969696969697,CD4_all,857.6092480800797,IL2,il2_prolif,0.05,0
17.575757575757578,CD4_all,741.5139892768983,IL2,il2_prolif,0.05,0
18.181818181818183,CD4_all,641.1346394964681,IL2,il2_prolif,0.05,0
18.78787878787879,CD4_all,554.343723637847,IL2,il2_prolif,0.05,0
19.393939393939394,CD4_all,479.3075603594297,IL2,il2_prolif,0.05,0
20.0,CD4_all,414.64246431304235,IL2,il2_prolif,0.05,0
20.606060606060606,CD4_all,358.5119410517919,IL2,il2_prolif,0.05,0
21.21212121212121,CD4_all,309.9799110771948,IL2,il2_prolif,0.05,0
21.81818181818182,CD4_all,268.0176788013235,IL2,il2_prolif,0.05,0
22.424242424242426,CD4_all,231.73590651539382,IL2,il2_prolif,0.05,0
23.03030303030303,CD4_all,200.36562729582624,IL2,il2_prolif,0.05,0
23.636363636363637,CD4_all,173.24196842045504,IL2,il2_prolif,0.05,0
24.242424242424242,CD4_all,149.79006143134438,IL2,il2_prolif,0.05,0
24.848484848484848,CD4_all,129.51285827609544,IL2,il2_prolif,0.05,0
25.454545454545457,CD4_all,111.98059669583107,IL2,il2_prolif,0.05,0
